GPH_code,GPH_name,start_year,end_year,GPH_status,sovereign_GPH_code,continent
0,League of Nations,1920,1945,International,,World
1,United Nations,1945,2022,International,,World
2,United States of America,1816,2022,Sovereign,,America
3,Alaska,1816,1867,Colony of,365,America
3,Alaska,1867,1959,Colony of,2,America
3,Alaska,1959,2022,Part of,2,America
4,Hawaii (Sandwich Is.),1816,1898,Sovereign (limited),,Oceania
4,Hawaii (Sandwich Is.),1898,1960,Colony of,2,Oceania
4,Hawaii (Sandwich Is.),1960,2022,Part of,2,Oceania
5,Virgin Islands (Danish West Indies),1816,1917,Colony of,390,America
5,Virgin Islands (Danish West Indies),1917,2022,Colony of,2,America
6,Puerto Rico,1816,1821,Part of,1070,America
6,Puerto Rico,1821,1898,Colony of,230,America
6,Puerto Rico,1898,1952,Colony of,2,America
6,Puerto Rico,1952,2022,Dependency of,2,America
7,Texas,1816,1821,Part of,1070,America
7,Texas,1821,1836,Part of,70,America
7,Texas,1836,1845,Sovereign (limited),,America
7,Texas,1845,1861,Part of,2,America
7,Texas,1861,1865,Part of,1002,America
7,Texas,1865,2022,Part of,2,America
10,Greenland,1816,1953,Colony of,390,America
10,Greenland,1941,1945,Occupied by,2,America
10,Greenland,1953,1979,Part of,390,America
10,Greenland,1979,2022,Dependency of,390,America
11,Faeroe Is.,1816,1947,Colony of,390,America
11,Faeroe Is.,1940,1945,Occupied by,200,America
11,Faeroe Is.,1947,2022,Dependency of,390,America
20,Canada (Province of Canada),1841,1920,Colony of,200,America
20,Canada (Province of Canada),1920,2022,Sovereign,,America
21,Newfoundland and Labrador (Newfoundland),1816,1949,Colony of,200,America
21,Newfoundland and Labrador (Newfoundland),1949,2022,Part of,20,America
30,Bermuda,1816,2022,Colony of,200,America
31,Bahamas,1816,1973,Colony of,200,America
31,Bahamas,1973,2022,Sovereign,,America
40,Cuba,1816,1821,Part of,1070,America
40,Cuba,1821,1898,Colony of,230,America
40,Cuba,1898,1902,Occupied by,2,America
40,Cuba,1902,1906,Sovereign,,America
40,Cuba,1906,1909,Occupied by,2,America
40,Cuba,1909,2022,Sovereign,,America
41,Haiti,1816,1859,Sovereign (unrecognized),,America
41,Haiti,1859,1915,Sovereign,,America
41,Haiti,1915,1934,Occupied by,2,America
41,Haiti,1934,2022,Sovereign,,America
42,Dominican Republic (Santo Domingo),1816,1821,Part of,1070,America
42,Dominican Republic (Santo Domingo),1822,1844,Occupied by,41,America
42,Dominican Republic (Santo Domingo),1844,1861,Sovereign,,America
42,Dominican Republic (Santo Domingo),1861,1865,Colony of,230,America
42,Dominican Republic (Santo Domingo),1865,1916,Sovereign,,America
42,Dominican Republic (Santo Domingo),1916,1924,Occupied by,2,America
42,Dominican Republic (Santo Domingo),1924,2022,Sovereign,,America
42,Dominican Republic (Santo Domingo),1965,1966,Occupied by,2,America
50,West Indies Federation,1958,1962,Colony of,200,America
51,Jamaica,1816,1958,Colony of,200,America
51,Jamaica,1958,1962,Part of,50,America
51,Jamaica,1962,2022,Sovereign,,America
52,Trinidad and Tobago,1889,1958,Colony of,200,America
52,Trinidad and Tobago,1958,1962,Part of,50,America
52,Trinidad and Tobago,1962,2022,Sovereign,,America
53,Barbados,1816,1833,Colony of,200,America
53,Barbados,1833,1885,Part of,1055,America
53,Barbados,1885,1958,Colony of,200,America
53,Barbados,1958,1962,Part of,50,America
53,Barbados,1962,1966,Colony of,200,America
53,Barbados,1966,2022,Sovereign,,America
54,Dominica,1816,1871,Colony of,200,America
54,Dominica,1871,1940,Part of,1063,America
54,Dominica,1940,1958,Part of,1055,America
54,Dominica,1958,1962,Part of,50,America
54,Dominica,1962,1967,Colony of,200,America
54,Dominica,1967,1978,Associated state of,200,America
54,Dominica,1978,2022,Sovereign,,America
55,Grenada,1816,1833,Colony of,200,America
55,Grenada,1833,1958,Part of,1055,America
55,Grenada,1958,1962,Part of,50,America
55,Grenada,1962,1967,Colony of,200,America
55,Grenada,1967,1974,Associated state of,200,America
55,Grenada,1983,1985,Occupied by,2,America
55,Grenada,1974,2022,Sovereign,,America
56,St. Lucia,1816,1833,Colony of,200,America
56,St. Lucia,1833,1958,Part of,1055,America
56,St. Lucia,1958,1962,Part of,50,America
56,St. Lucia,1962,1967,Colony of,200,America
56,St. Lucia,1967,1979,Associated state of,200,America
56,St. Lucia,1979,2022,Sovereign,,America
57,St. Vincent and the Grenadines,1816,1833,Colony of,200,America
57,St. Vincent and the Grenadines,1833,1958,Part of,1055,America
57,St. Vincent and the Grenadines,1958,1962,Part of,50,America
57,St. Vincent and the Grenadines,1962,1969,Colony of,200,America
57,St. Vincent and the Grenadines,1969,1979,Associated state of,200,America
57,St. Vincent and the Grenadines,1979,2022,Sovereign,,America
58,Antigua and Barbuda (Antigua),1816,1833,Colony of,200,America
58,Antigua and Barbuda (Antigua),1833,1956,Part of,1063,America
58,Antigua and Barbuda (Antigua),1956,1958,Colony of,200,America
58,Antigua and Barbuda (Antigua),1958,1962,Part of,50,America
58,Antigua and Barbuda (Antigua),1962,1967,Colony of,200,America
58,Antigua and Barbuda (Antigua),1967,1981,Associated state of,200,America
58,Antigua and Barbuda (Antigua),1981,2022,Sovereign,,America
59,Montserrat,1816,1833,Colony of,200,America
59,Montserrat,1833,1956,Part of,1063,America
59,Montserrat,1956,1958,Colony of,200,America
59,Montserrat,1958,1962,Part of,50,America
59,Montserrat,1962,2022,Colony of,200,America
60,St. Kitts-Nevis,1882,1956,Part of,1063,America
